06000012.bmp,17850,15599,13782,13058,13363,13548,13584,13568,13317,13263,13384,13468,13452,13118,13113,12924,12872,13380,14409,14017,12422,11094,10676,10579,11361,13212,14916,15457,15735,15699,15698,15605,15669,15643,15553,15561,15579,15516,15496,15499,15459,15279,15279,15215,15160,15018,14898,14801,14644,14655,15220,16023,17850,17850,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13241,12846,11765,10099,9133,10369,9442,8370,7754,7766,7392,8425,10766,11837,12448,12588,12186,11930,11398,9617,8623,7985,8576,3932,4173,6030,9220,8082,8627,10398,12086,12527,12578,12205,11391,9322,8059,7470,8317,7855,9139,10296,9318,9697,10923,12709,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3311,3570,3820,4078,4329,4085,3703,3623,3797,4201,4522,4925,5247,5445,5784,6027,6151,6445,6621,6791,6854,6426,5265,4947,5308,6482,7274,7736,7848,8207,8470,8922,9098,9462,9592,9946,10399,10121,9661,8108,7943,8356,8999,10381,10481,10422,10320,10464,10430,10401,10261,10423,10188,10137,9391,9083,9355,9732,10627,10256,9889,9707,9418,9020,8767,8591,8231,8124,7924,7757,7549,7250,6653,5356,5206,5492,5819,7023,7642,7376,7133,6876,6623,6370,6115,5865,5608,5355,5100,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0,0,0,0,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3821,4078,4332,4510,4036,3834,3725,4124,4415,5020,5300,5432,5739,6006,6194,6449,6735,6858,6700,5949,5140,4946,5397,6394,7583,7922,8194,8409,8741,9036,9228,9427,9619,10003,10289,10317,9507,8225,8325,9007,10219,10959,10703,10633,10704,10598,10561,10582,10668,10461,10562,10296,10086,8982,9097,9487,10333,10650,10222,9943,9600,9378,8981,8675,8447,8077,7987,7592,7397,7629,7300,5980,5185,5423,5821,6781,7753,7642,7384,7137,6883,6618,6371,6117,5865,5610,5355,5100,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0
01003011.bmp,17850,15687,14782,14230,13876,13770,14443,15127,15824,15840,15332,14882,14107,14046,14147,13136,12328,12880,14634,15499,15196,14337,13940,14488,14987,11635,9784,9683,12604,14587,14604,14515,14340,14427,11692,9238,9138,9501,14445,14436,14489,14655,14532,14604,14742,14775,14840,14741,14743,14792,14815,15036,17850,17850,13770,13770,13770,13770,13770,13770,13770,13770,13770,12855,12356,10930,7709,6473,7309,8339,8816,9881,8894,8500,8545,10419,10435,10609,12112,12112,12077,12029,11989,10511,10550,11509,12007,12052,12088,11355,10843,7829,5582,4757,6698,9067,8564,7489,4983,3442,4576,7416,10651,11411,10983,10443,10241,10486,10904,11408,12298,12206,12323,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4590,4840,5097,5348,5608,5706,5605,5649,5856,6051,6292,6585,6538,6459,6838,7202,7472,7907,7902,7825,7997,8271,8523,8669,8854,8923,8740,8596,8896,9211,9623,9975,9547,8937,8083,7978,7709,7964,8295,7484,6787,6449,6438,6508,6599,6582,6919,7819,8348,8440,8351,8317,8503,8920,9340,9629,9517,9202,9143,8941,8812,8929,8954,8760,8408,8258,8040,7727,7491,7215,6979,6754,6675,6701,6639,6461,6115,5858,5611,5603,5598,5608,5353,5099,4840,4590,4331,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0,0,0,0,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3059,3314,3567,3571,3567,3611,3741,3934,4083,4247,4518,4688,4537,4136,4063,4217,4667,4845,5038,5009,5367,5675,5819,5279,5790,6451,7788,8564,8765,8990,9472,9930,9977,10115,10150,10363,10790,11242,11577,12016,11905,11758,11699,11803,12071,12319,11970,11601,11298,10972,10592,10072,10172,10439,10664,10142,8822,8240,8070,7900,7566,7116,6971,7186,7731,7843,7456,6813,6746,7397,8156,8464,8256,7930,7434,6968,6463,6530,6443,6366,6283,6016,5690,5446,5266,4889,4628,4375,4125,4164,4202,4122,3836,3527,3246,3191,3181,3315,3058,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0
02004004.bmp,17850,17850,17850,16617,16617,16558,16153,15633,14960,13816,13276,12798,13048,13178,13134,13150,13280,14076,15666,16381,16305,16362,16482,16439,16361,16477,16405,16312,16299,16213,15632,14938,14456,13813,13176,13173,12919,12940,13492,14244,15462,15285,14890,14624,14587,14634,14593,14587,15461,16450,17850,17850,17850,17850,13770,13770,13770,13770,13770,13770,13770,6343,6009,6257,13728,13750,13740,13740,13737,13742,13751,13743,13350,12101,11793,11825,11774,11716,11870,11919,9763,8482,7162,8748,9557,9851,10366,10920,11431,10997,10471,9989,9581,8964,7541,8266,8874,11480,11887,11760,11679,11811,11786,11958,12971,13749,13746,13740,13745,13753,13750,13741,13731,8829,6015,13770,13770,13770,13770,13770,13770,13770,13770,13770,0,255,510,765,1020,1275,1530,1785,2040,2295,2295,2299,2295,2551,2806,3051,3316,3567,3819,4081,4330,4575,4839,5092,5477,5849,6416,6740,6785,6908,7159,7437,7633,7887,8156,8400,8661,9030,9195,9291,8245,7652,7477,7597,8416,8942,9421,9840,10219,10428,10581,11001,11195,11126,11234,10862,9455,9046,8131,9199,9941,11009,11741,11596,11562,11520,11538,11415,11462,11252,10810,10445,9584,7998,7378,7381,7885,8923,9976,9798,9474,9266,8995,8740,8422,8219,7885,7673,7508,7576,7352,7242,7168,6771,6453,6200,5947,5696,5441,5185,4930,4673,4420,4167,3904,3654,3394,3260,3142,3059,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0,0,0,0,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,2807,2887,3148,3404,3642,3912,4157,4411,4676,4915,5182,5424,5692,5937,6184,6793,6912,6953,7168,7388,7697,7892,8154,8401,8763,8939,9228,9423,9201,8410,8185,7987,8130,9088,9586,9937,10417,10682,10992,11273,11526,11887,11710,11780,10714,9821,9046,8381,9803,10433,11801,11883,11701,11506,11484,11430,11482,11370,11034,10432,10067,9018,7227,6784,7229,8031,9628,9784,9639,9419,9145,8904,8667,8407,8011,7902,7661,7585,7575,7392,7383,7334,6675,6287,5865,5608,5348,5096,4836,4587,4331,4073,3828,3571,3317,3064,2932,2888,2978,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0
08005007.bmp,17850,7240,7170,12948,15792,15797,15799,15811,15809,15809,15809,15809,15809,15809,15809,15811,15809,15809,15809,15809,15809,15809,15809,15808,15731,15550,15379,15236,15078,15045,14905,14957,14926,14849,14829,14822,14871,14822,14763,14815,13492,12558,13549,14663,14616,14533,14570,14613,14521,10328,10259,10378,17850,17850,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,864,772,818,13173,13135,13165,13168,13165,12871,12430,12085,11723,11262,10885,10696,10454,10239,9896,9263,9030,4138,5099,4494,9339,9432,9744,10222,10428,10540,10628,10850,11323,11706,12165,12533,13054,13166,13166,13170,13169,1369,1321,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3370,3318,3315,3321,3317,3493,3745,3990,4252,4502,4761,5015,5270,5525,5785,6034,6295,6544,6802,7049,7314,7564,7647,7654,7652,7822,8082,8328,8583,8838,9091,9345,9598,9859,10112,10369,10624,10876,11134,11137,11132,11128,11188,11139,11048,10936,10808,10493,10329,10403,10215,10402,10520,10643,10577,10310,9985,9112,8691,8664,9082,9384,9059,8725,8607,8454,8382,8278,8125,7735,7564,7307,6968,6770,6556,6184,6057,5693,5611,5575,5413,5351,5191,5101,5055,5072,4841,4582,4424,4336,4328,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0,0,0,0,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,3825,3830,3829,3825,4004,4253,4507,4761,5017,5272,5527,5782,6036,6292,6547,6801,7057,7310,7563,7825,8078,8162,8164,8161,8341,8588,8836,9101,9351,9610,9857,10116,10369,10626,10880,11136,11391,11637,11639,11643,11640,11488,11294,11140,11048,10879,10745,10511,10351,10654,10755,10642,10405,10393,9911,9182,8711,8692,8977,9256,8962,8758,8633,8379,8285,8288,8046,7725,7518,7247,6923,6808,6496,6280,6055,5819,5696,5549,5352,5326,5154,5096,4971,4926,4842,4588,4336,4079,3830,3611,3571,3598,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0
08004006.bmp,17850,17204,16950,16704,16476,16195,16197,16274,16258,16273,16259,16251,16288,16275,15922,14818,14501,15101,15757,16216,16227,16166,15441,14503,13944,14139,14806,15393,15959,16201,16051,15448,14674,13841,13814,13773,14035,14494,15354,15790,15671,15178,15069,14984,14883,14945,14801,14781,14688,15159,15764,16464,17850,17850,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13000,12195,11441,10859,10775,10799,10417,10032,9953,10091,9703,9264,9365,9212,8834,8654,8741,8733,8816,8151,6549,6206,6688,7302,8136,8473,9912,11268,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4590,4845,5100,5355,5610,5865,6120,6375,6630,6885,7140,7395,7650,7905,8158,8413,8663,8924,9179,9425,9653,9559,9085,8988,8887,8811,8908,9243,9500,9806,9954,9834,9954,10255,10242,9949,9747,9886,9890,10001,9826,9942,10228,10519,10706,10668,10712,10838,10785,10646,10981,11112,10856,10627,10518,10210,9947,9718,9483,9227,8971,8756,8676,8581,8474,8283,8013,7875,7608,7390,7141,6883,6515,6264,6075,5870,5668,5612,5614,5610,5612,5610,5355,5100,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0,0,0,0,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4590,4845,5100,5355,5610,5865,6120,6375,6629,6883,7132,7393,7505,7309,7308,7368,7439,7565,7743,7941,8328,8471,8731,9000,9303,9606,9804,9863,9609,9521,9528,10002,10621,11118,11588,11843,11376,10953,10779,10758,10676,10912,11144,11375,11374,11297,11042,10530,10669,10641,10626,10905,10613,10286,10197,9824,9873,9772,9661,9363,9117,8882,8582,8132,7860,7517,7144,7001,7106,7193,7312,7620,7954,7902,7641,7388,7137,6885,6624,6375,6120,5865,5610,5355,5100,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0
04001005.bmp,17850,14011,14052,14072,14062,14063,14066,14061,14069,9195,9198,12151,17811,17827,17825,17814,17695,16750,16360,15831,15497,15472,15428,15341,15335,15274,15399,15590,16067,16611,16945,17079,17074,17086,17085,17085,17085,17085,17085,17085,17085,17086,17085,17085,17085,17085,17085,17085,17085,17084,17077,17083,17850,17850,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,11136,11045,13074,13081,13067,10691,10290,11585,12149,12167,11495,10176,10177,12182,12231,12267,4028,2229,2729,11942,12032,11415,10016,10115,11473,12215,12230,11185,10217,11071,12889,13087,13081,11694,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4336,4336,4590,4845,5100,5100,5100,5248,5522,5784,5865,5776,5785,6288,6788,7144,7130,7132,7305,7812,8327,8495,8442,8265,8519,9060,9415,9542,9547,9714,10190,10661,10998,10797,10779,10893,11240,11298,11328,11295,11400,11495,11832,11742,10078,9706,9570,10987,12283,12478,12495,12475,12239,11980,11730,11475,11220,10965,10711,10455,10200,9945,9690,9435,9182,8925,8670,8670,8667,8669,8414,8157,7902,7648,7395,7140,6885,6630,6375,6120,5865,5610,5355,5100,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0,0,0,0,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4590,4845,4903,5175,5443,5699,5778,5777,5905,6165,6331,6248,6081,6072,6417,6920,7309,7383,7382,7479,7988,8305,8526,8345,8458,8671,9303,9696,9979,9840,9951,10360,10930,10988,10918,10709,10868,10990,11240,11249,11253,11244,11491,11950,12218,12129,10731,10168,10156,11478,12711,12726,12484,12232,11972,11724,11472,11217,10965,10710,10455,10199,9940,9685,9434,9176,8925,8675,8670,8670,8670,8415,8160,7905,7650,7395,7140,6885,6630,6375,6120,5865,5610,5355,5100,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0
11000004.bmp,17850,15626,14758,14831,14530,14500,14208,13693,13096,11707,11298,11353,11233,11710,12119,11513,11006,11608,12018,12376,12253,12295,12251,12568,12564,12146,12018,11399,11553,11602,11248,12032,12237,11736,12328,13299,13934,13980,13801,14091,14677,14906,14973,15584,15840,15762,15581,15578,15421,15455,16158,16741,17850,17850,13089,12256,11671,11335,11448,11360,10711,10287,10534,9548,9034,10888,12845,12830,12789,12760,11419,8364,6857,6828,10072,11143,11354,11436,11497,10950,8395,7571,7662,10334,11551,11493,11630,9140,8665,9073,10049,9811,9458,9512,9816,9495,9492,9923,10494,10168,10391,10334,10552,10105,9577,8675,8766,8939,9421,9416,9003,8974,10116,9913,10082,12239,12599,11241,11214,11745,12481,12384,13770,13770,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4590,4844,5098,5350,5603,5856,6113,6365,6527,6361,6299,6246,6089,6251,6308,6723,7004,7287,7598,7786,7348,6972,7227,8026,6438,4309,2430,3030,6130,7570,6444,5408,6495,9186,9296,6113,5340,5905,8106,6225,4812,5373,8269,9050,7860,6906,7478,10293,10447,9424,9326,10725,12498,11302,9484,9058,10579,10148,9566,9628,10479,9291,7464,8116,9607,8917,6410,6130,8007,8614,8395,7676,6650,6951,7387,6621,4428,3721,5317,6092,5318,4186,4189,4757,4497,3849,3654,3861,3816,3565,3310,3054,2798,2545,1904,1636,1682,1528,1275,1020,765,510,255,0,0,0,0,0,255,510,765,1020,1275,1530,1784,2034,2290,2547,2785,2916,2880,2756,2945,3696,3717,3628,3544,3191,3240,3459,4092,4249,4728,4529,4670,4608,4877,4546,4577,4438,4423,4208,4479,4987,5242,5641,5753,6118,6701,6882,7622,8272,8684,9233,9890,9309,9078,8554,8185,7526,7967,8345,9082,9835,10527,10757,10966,10934,11075,11143,11170,11341,11426,11277,11222,11176,11020,10972,10876,10701,10742,10759,10383,10197,9932,9590,9432,9054,8702,8149,7711,7442,7410,7399,7411,7471,7498,7667,7385,7147,6837,6577,6307,5869,5311,4924,4650,4373,4175,3909,3382,2914,2397,2023,1867,1753,1636,1331,621,402,385,812,1413,1527,1275,1018,765,510,255,0
08000000.bmp,17850,17226,16689,16229,15833,15705,15740,15830,16116,15994,16002,16143,16138,16174,16200,16234,16281,16166,16258,16361,16439,16483,16573,16598,16583,16654,16663,16659,16623,16508,16484,16457,16411,16366,16263,16313,16202,16198,16275,16332,16269,16261,16219,16165,16066,16153,16229,16235,16018,15792,15816,16364,17850,17850,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,12943,11431,10444,9566,9535,9503,9300,8404,6538,6376,7732,10821,11415,11158,10903,10417,9022,7178,8584,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4590,4845,5100,5355,5610,5865,6120,6375,6626,6885,7136,7389,7646,7591,6727,6595,6836,6949,7611,8388,8775,8936,9212,9401,9755,9958,10228,10343,10642,10845,11104,11403,11542,11848,12092,12139,12062,12050,11984,12047,12093,11966,11918,11926,11889,11945,11941,11858,11719,11522,11526,11328,10419,9700,9692,9811,10574,10410,10089,9752,9460,8958,8568,7924,7299,7382,7773,8902,8915,8669,8411,8151,7904,7648,7388,7140,6885,6630,6375,6120,5865,5610,5355,5100,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0,0,0,0,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4590,4845,5100,5355,5610,5865,6120,6375,6630,6885,7140,7394,7646,7899,8157,8407,8665,8925,9156,9257,8079,7374,7262,7143,8081,9039,9638,9964,10425,10609,11069,10631,10213,10247,10394,11557,11839,11866,12042,12010,12096,12149,12086,12217,12206,12239,12295,12237,12275,12322,12334,12440,12167,11814,11519,11425,11098,10911,10661,10417,10275,9986,9799,9500,9278,8921,8797,8482,8284,8024,7470,6879,6694,6630,6837,7366,7137,6885,6630,6375,6120,5865,5610,5355,5100,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0
11005003.bmp,17850,9223,9218,13972,16700,16701,16703,16702,16702,16702,16702,16702,16702,16702,16703,16702,16702,16702,16702,16702,16702,16702,16703,16702,16702,16702,16702,16702,16702,16702,16703,16702,16702,16702,16702,16702,16702,16702,16703,16702,16702,16702,16702,16702,16702,16702,16702,16697,16697,14072,9191,9276,17850,17850,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,885,779,783,12409,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12580,12582,12579,12554,6515,778,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4367,4335,4341,4340,4337,4420,4763,5013,5270,5525,5780,6035,6290,6545,6800,7056,7310,7565,7820,8075,8330,8585,8840,9096,9350,9605,9860,10115,10370,10625,10889,11137,11385,11622,11983,12111,12110,12115,12112,12113,12112,12112,12112,12112,12112,12112,12114,12115,12109,12118,12197,12197,12035,11772,11518,11262,11007,10752,10497,10242,9987,9732,9477,9222,8967,8712,8457,8202,7947,7692,7437,7182,6927,6672,6416,6162,5898,5655,5394,5148,4882,4849,4850,4845,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0,0,0,0,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4590,4845,4845,4845,4848,4853,5119,5392,5653,5905,6162,6417,6672,6927,7182,7437,7692,7947,8202,8457,8712,8967,9222,9477,9732,9987,10242,10497,10752,11007,11262,11517,11776,12027,12196,12405,12365,12371,12368,12367,12367,12367,12367,12367,12367,12367,12368,12370,12365,12366,12370,12270,11907,11639,11396,11138,10880,10625,10370,10115,9860,9605,9351,9095,8840,8585,8330,8075,7820,7565,7311,7055,6800,6545,6290,6035,5780,5521,5272,5015,4676,4596,4595,4595,4591,4676,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0
15000014.bmp,17850,16271,15172,14564,14433,14477,14480,14401,14498,14701,14621,14772,14898,14870,14921,14944,12490,12371,12371,14158,14040,13895,14024,13899,13717,13877,13741,13754,13600,13599,13642,13780,14278,14806,15927,16395,16890,17038,17002,17043,17083,17087,17082,17084,17088,17084,17087,16993,17004,16997,17090,17107,17850,17850,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,11042,8513,7240,8912,10384,11071,11850,12120,11465,10116,7027,7629,9119,11948,12908,12982,11385,5347,4604,5846,11710,12985,12982,12986,9734,7849,7014,9691,10816,11681,12093,11656,10745,9257,7193,8616,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,13770,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4332,4589,4840,5100,5348,5488,4994,4720,4678,4736,5200,5416,5816,6070,6536,6794,6983,7225,7564,7799,7984,8243,8478,8659,8923,9310,9579,9798,9774,8937,8461,8091,7883,8649,8811,9047,8846,8786,8577,8980,9325,10191,10859,11007,11212,11132,11080,11111,11294,11344,11327,11388,11261,10860,10717,10254,9872,9721,9195,8866,8709,8702,8798,9353,9340,9093,8869,8740,8843,8832,8662,8415,8160,7905,7650,7395,7140,6885,6630,6375,6120,5865,5610,5355,5100,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0,0,0,0,0,255,510,765,1020,1275,1530,1785,2040,2295,2550,2805,3060,3315,3570,3825,4080,4335,4590,4845,5095,5268,4923,4772,4681,4684,5195,5497,5777,6136,6442,6579,6891,7208,7509,7685,7941,8248,8487,8709,8935,9076,9309,9506,9858,10140,10055,9175,8744,8750,8913,9389,9303,9337,8734,8635,8997,9556,10436,11181,11254,11262,11368,11317,11303,11293,11339,11368,11345,11471,11012,10759,10516,10403,10024,9894,9522,9169,8861,8289,8163,8019,8166,8868,8906,8671,8491,8503,8518,8414,8157,7905,7650,7395,7140,6885,6630,6375,6120,5865,5610,5355,5100,4845,4590,4335,4080,3825,3570,3315,3060,2805,2550,2295,2040,1785,1530,1275,1020,765,510,255,0
